,blues,greens,reds,nirs,swir1s,swir2s,thermals,qa,dates
327,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-04-13
328,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-04-20
329,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-04-22
330,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-04-29
331,290,508,368,2785,1288,508,1795,66,1991-05-06
332,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-05-08
333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-05-15
334,312,528,391,2699,1260,522,2065,66,1991-05-22
335,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-05-24
336,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-05-31
337,321,590,476,2925,1279,519,2545,66,1991-06-07
338,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-06-09
339,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-06-16
340,20000,20000,20000,8155,5837,3819,-295,224,1991-06-23
341,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-06-25
342,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-07-02
343,20000,6927,20000,7371,20000,4658,845,224,1991-07-09
344,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-07-18
345,294,518,377,2881,1310,577,2585,66,1991-07-25
346,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-07-27
347,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-08-03
348,308,473,362,2831,1238,483,2705,66,1991-08-10
349,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-08-12
350,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-08-19
351,20000,6746,6937,7300,6411,5142,655,224,1991-08-26
352,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-08-28
353,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-09-13
354,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1991-09-20
355,1177,1384,1429,2678,2435,1622,1975,160,1991-09-27
